index,문자내용
245,엄마~ 나 방금 폰 액정 때문에 as 맡기고 임시용 문자 폰으로 문자했어~ 엄마 이 번호 통화 안 돼 확인하고 문자 줘~
246,"[국제발신] [주문하신 결제금액] 코드번호 3*7* KRW 963,100 승인완료"
247,"[국외발신] [해외구매] 1,198,000원 결제완료 03/14 11:35배송예정 본인아닐시"
248,"[국외발신] [아마존] 승인안내:948,000원 결제완료"
249,[국외발신] (주의)최근 해킹으로 인한 타인명의 사기가 늘고있습니다.
250,"[국제발신] -해외결제- 승인코드:[5**6] KRW:980,720원 완료 본인 구매 상품아닐시 즉시 신고요망"
251,"[국외발신] okmall [해외배송] 2월25일 975,000원 결제완료"
252,아빠 나 지금 핸드폰 액정이 깨져서 AS 센터에 맡기고 임시폰으로 문자하고 있어. 문자 확인하면 여기로 바로 문자 줘~
253,엄마 나 폰 먹통 돼서 수리 맡겼어. 급히 부탁할 거 있어서 그러는데 답장 줘.
254,아빠 난데 핸드폰 액정이 나가서 지금 피씨용 어플로 하고있어요. 문자확인되면 여기로 답장주세요.
255,"[국외발신] [해외구매] 956,000원 결제완료 02/28 11:25배송예정"
256,[국제발신] [GL몰] 해외승인 969000원 결제완료
257,"[아마존] 해외승인 KRW 840,000 체크결제"
258,방금 수신한 문자메시지는 해외에서 발송되었습니다.
259,"[국제발신] [아마존] 해외승인 KRW 840,000 체크결제"
260,[국제발신] [GL몰] 해외승인  969000원 결제완료
261,"[국제발신] pay쇼핑 1,047,420원 결제완료"
262,"[국외발신] [해외직구] 876,000원 결제완료"
263,"[국제발신] pay쇼핑 1,047,420원 결제완료"
264,엄마 난데 폰을 떨어뜨려 폰 액정이 나가서 통화가 안 돼 여기로 답장 줘
265,아빠 나 폰 액정 먹통 돼서 잠시 이 번호 사용하니깐 여기로 답장 줘~
266,"[국제발신] [해외결제 ] [KRW 876,000원]결제완료 "
267,"[국제발신] [요청하신 결제금액] KRW 959,000 정상처리 되었습니다"
268,"[국외발신] 결제완료 1,640,000 승인번호:2905 해외직구"
269,엄마 나 폰 터치 안 돼서 수리 맡겼어. 이 전화번호로 카톡 추가하고 톡 줘.
270,[Web 발신] 엄마~지금 바빠? 내 폰이 액정 깨져 수리 맡겼어 ~지금 급히 부탁 있는데 이 번호로 문자 줘
271,[ez몰] 해외결제 876000원 결제완료
272,방금 수신한 문자메시지는 해외에서 발송되었습니다.
273,아빠 나 폰 고장났어 임시용이라 통화는 안되고 문자만 가능한데 확인하면 여기로 답장줘[FW]
274,아빠 나 폰 고장나서 AS맡겼어 문자 확인하면 여기로 문자해줘~
275,[ez몰] 해외결제 876000원 결제완료
276,[Web 발신] 엄마 나 지금 급히 해야 될 거 있는데 폰 액정 깨져서 못하고 있어 문자 확인하면 여기로 바로 답장 줘~
277,"[요청하신 결제금액]KRW959,000결제 되었습니다"
278,방금 수신한 문자메시지는 해외에서 발송되었습니다.
279,아빠 내가 은행에서 인터넷뱅킹한 거야 놀래지 말아
280,"[국제발신] 결제안내{895,000\}완료.본인아닐시 소비자원문의바랍니다."
281,"[국외발신] [요청하신 결제금액] KRW 959,000 결제 되었습니다"
282,"[국제발신] 신청하신 루이비통 아치라이트신발 1,292,000원 완료 "
283,"[요청하신 결제금액] KRW 959,000 [승인] 되었습니다"
284,방금 수신한 문자메시지는 해외에서 발송되었습니다.
285,엄마 나 방금 핸드폰 고장 나서 수리맡겼어 문자 보면 이 번호로 문자 줘~~
286,아빠~부탁할 거 있어 그러는데 폰 고장이라 통화가 안 돼 지금 이 번호로 카톡 추가하고 톡 줘
287,"[국외발신] [이베이 승인안내]969,000원 완료 본인신청 아닐시 소비자보호윈으로 문의하세요"
288,[국제발신] 해외직구 KRW 959.000원 결제완료 인증코드:2110
289,-해외결제- 승인완료 KRW 959.000 고유번호:8501 
290,"승인완료 금액:1,640,000원 인증코드:5811 "
291,[국제발신] 해외직구 KRW 959.000원 결제완료 인증코드:2110
292,"[국제발신] [ez몰] 해외결제 876,000원 결제완료"
293,"[국외발신] 사용확인 874,200원 감사합니다."
294,"[국제발신] LF몰[해외직구] 물품구매완료 12월30일 996,160원 결제완료"
295,[국제발신] [이베이] 본인인증번호[758566]를 정확히 입력해주세요.
296,아빠 나 폰 고장 나서 A/S센터에 맡기고 임시용 문자 앱으로 문자하고 있어 부탁 있어서 그러는데 문자 확인되는 대로 답장해 줘
297,아빠 내가 폰 보험처리 때문에 통신사 인증 받아야 되는데 인증번호 확인이 안 돼서 아빠 폰으로 인증 하나만 받아줄 수 있어?
298,아니 나 폰 액정 나가서 인중 받을 수 없어서 아빠 폰으로 인증만 받아줘
299,엄마 뭐해? 나 핸드폰 액정이 나가서 수리센터에 맡기고 전에 내 명의로 만들었던 문자나라로 접속했어. 통화 안 되니까 문자로 하는 거야 급하게 부탁이 있어서 그러니까 문자 보면 답장 줘
300,나 부탁할 거 있는 게 잠깐 편의점 다녀올 수 있어?
301,구글키프트카드20만원 4장구매해서 보내줄수있어?
302,"[국제발신] [타임쇼핑] 해외직구 156.241.129.110 승인번호[96**]입력시 980,000원 결제됩니다."
303,"[국외발신] 해외물품거래내역 KRW 973,200원 코드번호 35** 정상처리 되었습니다"
304,[Web발신] 아빠 난데 여기로 문자줘~폰고장났어 ㅠㅠ
305,"[국외발신] 결제승인내역 KRW 959,000원 승인코드 69** 확인 되었습니다"
306,"[국제발신] okmall [해외배송] 3월29일 975,000원 해외 결제"
307,엄마 나 폰 액정이 망가졌어 확인하면 이 번호로 문자줘 ~
308,"[국제발신] [아마존]승인번호 [636799] 입력시579,000원 결제됩니다.(amazon.com)"
309,"[국제발신] 승인안내:579,000원 결제완료.(본인아닐시 소비자원으로 신고바랍니다.)"
310,[국제발신] 해외직구 1.047.420원 결제완료 승인번호:5623 
311,[제목 없음] 엄마 나 보험 내야 되는데 폰 고장 나서 그러는데 엄마 신용카드로 먼저 결제해도 될까? 이 번호로 카톡 추가해서 문자 줘
312,아빠 바빠? 나 핸드폰 고장 나서 전화가 안 돼 시간 되면 이 번호로 카톡 추가하고 톡 줘 부탁할 거 있어 ~~
313,"[국제발신] [주문하신 결제금액] KRW 973,200 접수번호 5*1*"
314,[제목 없음] 아빠 나야 폰 고장 났어~수리 중이라서 잠시 이 번호 사용 중이야 부탁이 있는데 여기로 문자 줘~
315,"[국제발신] [해외구매] 1,080,000원 결제완료 03/10 11:35 배송예정"
316,엄마 나야 폰 액정이 나가서 수리 맡겼어 이 번호로 카카오톡 추가하고 톡으로 말해줘 이거 임시폰이라 그래
317,[국제발신] 전화번호 바꿨어 내 번호 저장하고 카톡줘 주말인데 같이 밥이나먹자~
318,[국제발신] 번호변경했어 카톡줘 3월중순쯤 밥이나 같이먹자 카톡해 ㅋㅋ
319,"[국제발신] 승인안내:369,000원 결제완료.(본인아닐시 소비자원으로 신고바랍니다.)"
320,엄마 나 폰 액정나가서 AS맡겨놓고 잠시 대리폰으로 문자만 가능해 문자확인하면 여기로 답줘~~
321,아빠 나 좀 전에 폰 떨어뜨려 액정이 깨졌어 통화안되니깐 여기로 바로 문자줄래 ~~
322,"[국제발신] 승인안내:969,000원 결제완료.(본인아닐시 소비자원으로 신고바랍니다.)"
323,"[국제발신] [해외구매] 956,000윈 결제완료 03/05 17:20배송예정"
324,아빠 난데~ 폰 떨어뜨려서 고장났어 확인하면 여기로 답장좀 줘
325,좀 전에 통화하다 폰 떨어뜨렸는데 고장나서 수리맡겼어
326,이 번호는 임시 인터넷으로 가입 한 번호라 전화는 안 되고 문자만 가능해
327,엄마 시간 되면 나 인증 좀 할 거 있는데 도와줄 수 있어?
328,[국외발신] KRW 969.420원 결제완료 승인번호:5623
329,엄마~ 나 폰 액정 땜에 a.s 맡기고 임시용 문자 폰으로 문자했어~ 엄마 이 번호 통화 안 돼 확인되는 대로 문자 줘~
330,엄마 지금 바빠? 내 폰 액정 깨져서 센터에 맡기고 임시폰 받았어... 통화는 안 되고 문자만 가능해 문자 확인되면 답장 줘...
331,"[국제발신] 02/21 해외직구 1,640,000원 결제완료 해외배송,물품수령 물품조회 및 취소요청."
332,[국외발신] KRW 874.000원 결제완료
333,"[국제발신] pay쇼핑 1,047,420원 결제완료"
334,"[국외발신] pay쇼핑 1,047,420원 결제완료"
335,"[국제발신] 신청하신 LG 넷플릭스티비 1,590,000원 구매완료 되였습니다"
336,[국외발신] [GL몰] 해외승인 969000원 결제완료 
337,"[국외발신] 결제하신 금액 KRW 959,000 정상처리 되었습니다 "
338,엄마 나 폰 고장 나 수리 맡겨놓고 잠시 대리폰으로 문자만 가능해 문자 확인하면 여기로 답 줘~~
339,폰 보험처리 가능한데 지금 폰 인증이 안돼서 그러는데 먼저 엄마 명의로 보험처리해도 괜찮겠어?
340,아빠 나 지금 폰 고장 전화먹통됐어 지금 폰 수리 맡겼어 급히 부탁 있어 여기로 바로 답장 줘~
341,"[국제발신] [해외결제 ] [KRW 876,000원]결제완료"
342,[국제발신] [GL몰] 해외승인 969000원 결제완료 
343,"[국제발신] 요청하신 결제금액 KRW 959,000 승인완료 되었습니다"
344,[국제발신] 번호바꿨어 주말에 밥먹자 카톡으로해 친구
345,"[국제발신] [해외결제] 승인번호:[8**2] [KRW 980,720원]"
346,"[국제발신] [요정하신 결제금액] KRW 959,000 결제 되었습니다"
347,엄마 나야~폰 액정이 깨져서 수리보냈어ㅠㅠ 이 번호로 카톡 추가하고 톡 줘
348,"아빠~내 폰이 땅에 떨궈 전원 안 켜져~지금 수리 맡겼어~부탁 있는데, 이 번호로 문자 줘~"
349,아빠~폰 보험 신청해야 되는데 아빠 명의로 먼저 신청해 줘~할 줄 모르면 내가 해놓을게~
350,아빠 주민등록증 앞면 신용카드 앞면.뒷면  사진찍어 보내줘 ~
351,엄마 바빠? 나 폰 고장 나서 as 맡기고 인터넷 문자하는 중ㅜㅜ인터넷 폰이라서 통화 안 되고 요금도 많이 빠지니까 카톡으로 이 번호 추가하고 톡 줘~새로 만든 카톡이야
352,"엄마 나 휴대폰 고장 나서 가까운 센터에 수리 맡기고 문자나라에서 보내는 거야, 전화는 안 되니까 문자 줘~"
353,엄마 나 폰 고장이라 매장에 맡기고 문자나라 일회용 번호로 문자 보내고 있어 문자나라 일회용 번호라 문자만 가능해 문자 보면 문자 좀 줘
354,나 핸드폰 망가져서 컴으로 올랐어
355,아빠 지금 어디?
356,엄마 나 폰이 고장나 컴퓨터로 연락했어
357,엄마 바빠?
358,엄마 나 부탁 하나만 해도 될까?
359,다름이 아니라 제가 지금 급히 송금할 곳이 있는데 제 통장은 공인인증 때문에 송금할 수가 없어서 그러는데 이모께서 혹시 먼저 송금해 줄 수 있다 해서요
360,가능하시면 제가 이따 6시전으로 다시 돌려드릴게요
361,작은아빠 바쁘세요 ?
362,저 부탁하나만 해도 될까요 ?
363,아빠~ 나 휴대폰 먹통 돼서 컴퓨터로 통신사 사이트에서 임시번호 받았어. 이 번호 저장하고 카톡 추가하고 톡 줘 ~ 급 급 급
364,"[해외구매] 987,430원 결제완료 주문하신 물품은 14일이내 배송예정입니다 "
365,방금 수신한 문자메시지는 해외에서 발송되었습니다.
366,아빠 난데 지금 폰이 고장 나서 매장에 수리 맡기고 인터넷 앱으로 문자하는 거야 문자 확인하면 여기에 바로 문자 줘.~
367,[국제발신] 나 폰 번호 바꿨어~ 내 번호 저장하고 카톡 줘 주말에 밥이나 먹게 연락해
368,액정이 터치가 안돼서 수리 맡겼어
369,엄마 지금 뭐하고 있어 바빠?
370,아빠 저예요. 핸드폰 액정이 나가서 지금 피씨용어플로 하고있어요. 문자확인되면 여기로 문자주세요.
371,엄마 나 폰 액정이 망가져서 수리점에 맡기고 문자보내 문자 확인하면 여기로 답장해줘~
372,지금 폰 수리 비용 때문에 보험 환급 신청해야 하는데 폰 수리 맡겨서 신청할 수가 없어 신청하려면 수리 비용 얼마 안 나오거든 가족 명의로 신청해야 하는데 도와주면 안 될까?
373,아빠 뭐해 바빠? 나 핸드폰 고장 났어 전화가 안 돼 시간 되면 이 번호로 카톡 추가하고 톡 줘 부탁 있어 ~
374,엄마 나 보험 내야 되는데 폰 고장 나서 그러는데 엄마 신용카드로 먼저 결제해도 될까? 이 번호로 카톡 추가해서 문자 줘
375,아빠 나 핸드폰 고장 나서 지금 수리 맡기고 임시번호로 컴퓨터로 문자하고 있는데 문자 들어갔어? 보면 답장 좀 줘 아빠
376,떨어뜨렸는데 폰 고장 나서 수리 맡겼어 이건 임시 가입 한 번호라 문자만 가능해 아빠 시간 되면 나인증 좀 할 거 있는데 도와줄 수 있어?
377,엄마 나 지금 폰 액정 나가서 A/S센터 맡겨놓고~인터넷 메시지로 문자하는데 문자 확인하는 대로 여기로 답장 줘
378,엄마 나 폰 먹통 돼서 수리 맡겼어 급히 부탁할 거 있어서 그러는데 이번 호로 카톡 추가하고 톡 줘.
379,아빠 나 핸드폰 수리 맡겼어 이 번호는 잠깐 쓰는 번호라 통화 안 돼 여기로 문자 줘
380,엄마 나 폰 고장 나서 통화 안 돼서 문자로 했어 확인하면 이번 호로 문자 줘
381,[국제발신] 전화번호 바뀌었어 내 번호 저장하고 카톡 줘 주말인데 같이 밥이나 먹자~
382,아빠 나 폰 고장나서 PC로문자중인데 부탁 할 거 있어 .여기로 문자줘
383,[국제 발신] 번호 변경했어 카톡 줘 3월 중순쯤 밥이나 같이먹자 카톡 해 ㅋㅋ
384,엄마 나 폰 액정 나가서 AS 맡겨놓고 잠시 대리 폰으로 문자만 가능해 문자 확인하면 여기로 답 줘~~
385,엄마 내 꺼 폰 고장 나서 지금 이 번호로하고 있어 여기로 답장해 줘
386,아빠 나 xx 폰 액정 깨져서 A.S 맡기고 임시폰 대리 받아 연락했어 통화 안 되니까 문자 확인하면 답장 줘
387,아빠 나 폰 수리 맡기고 임시폰받았어~ 문자 확인되면 답장 부탁해
388,"[국외발신] [해외승인] [960,520]원 승인완료"
389,아빠~핸드폰 고장 나서 수리 중이야 부탁할 거 좀 있어 그러는데 이 번호로 카톡 추가하고 톡 줘
390,"[국외발신] 02/21 해외직구 1,640,000원 결제완료 해외배송,물품수령 물품조회 및 취소요청. "
391,엄마 나 폰 고장 나서 수리 중이야 통화 안 되니까 이번 호로 톡 줘 급히 부탁할 거 좀 있어..
392,"아빠 나 폰 고장났어, 부탁이 있어 문자 확인하면 답장줘..[FW]"
393,온라인으로 액정보험가입할려고 하는데 액정때문에 폰인증 확인 안돼  아빠 대신 인증받아줄수있어?
394,아빠 나야 휴대폰 고장나서 수리맡겼어 확인하는대로 여기로 문자줘~
395,아빠 나 폰 수리맡기고 급히 부탁 할 거 있는데. 이 번호로 카톡 추가하고 톡줘
396,아빠 나 부탁 하나만 해도 돼?
397,아빠 바빠? 나 폰 고장 났어 지금 매장 아저씨 폰으로 잠깐 문자 중인데 시간 되면 카톡 추가해 줘 카톡 아이디 176014
398,"[Web발신] 상품: 웅진코웨이 정수기 1,370,000원 결제 완료 이용해주셔서 감사합니다. "
399,아빠 나 폰 고장 나서 통화가 안 되니깐 이 번호로 카톡 추가하고 말 남겨줘 급하게 부탁 있어
400,"<NH농/협>서민지원팀! 12개월_7%확정! 1000만사용 월58,000원으로 최대 4천이용가능함"
401,"[Web발신] [M 페이] 385,000원 승인완료"
402,엄마 바빠? 지금 핸드폰 액정 나가서 매장에 맡기고 컴퓨터로 카톡 하고 있어 지금 폰 없어 엄마밖에 연락이 안 돼서 그래 가까운 편의점에 가서 문화상품권 3만 원권 20장 구입해 줘
403,엄마 나 폰 고장이라 수리맡기고 지금 수리센터 아저씨 폰으로 문자하고있어 부탁 할 거 있는데 문자줘~~
404,엄마 뭐해? 나 폰고장나서 카톡새로했어 친구추가해줘
405,석천아 바빠? 핸드폰 액정 나가서 매장에 수리맡기고 급한대로 컴퓨터에서 카톡을줬어
406,엄마 나 폰 고장나서 수리 맡기고 컴퓨터로 문자하고 있어 급해 전화는 안되니깐 하지 말고! 지금 편의점으로 가서 XX기프트 카드 구매해서 번호 불러줄 수 있어?ㅠㅠ
407,엄마 다름아니라 지금 구글기프트권이 필요한데 엄마 대신먼저 구매해줄수있어? 나지금 밖에 나갈수 없는 상황이라 그래
408,해외인증 95** USD799$ 결제완료
409,엄마 나 폰 고장나서 수리맡기고 임시톡으로 문자한거야 이 번호로 카톡추가 하고 톡줘
410,아빠. 나 폰액정 깨졌어요. 지금 수리 맡겨서 문자 밖에 안돼. 급한일 있으니깐 문자 보면 답장줘
411,"[Wed발신] onepay gs상품권 10매 금일 940,000원 승인완료 주문 번호:01278854"
412,엄마 나 폰고장나서 매장에 수리맡기고 전에 인터넷 문자나라 가입한걸로 문자하고 있어. 컴퓨터용이라 문자만 가능하고 전화 안돼. 부탁할게 있는데 보면 답당줘~
413,아빠~ 지금 구글기프트카드가 좀 필요한데 시간 괜찮으면 대신 먼저 구매해줄 수 있어? 지금 인증서오류땜에 안되네ㅠ
414,엄마 바빠? 나 지금 휴대폰 고장 나서 매장에 수리 맡기고 급한 대로 예전에 내 명의로 가입해 놨던 문자나라로 문자하고 있어 피씨 용이라 문자만 가능해 부탁이 좀 있어서 그러는데 확인하는 대로 답장 줘
415,아빠 난데 핸드폰 액정이 나가서 지금 피씨용어플로 하고있어요. 문자확인하시면 여기로 답장주세요.
416,친한선배한테 구글기프트카드 의뢰받았는데 돈은 이미 받은상황이고 지금 폰 고장나서 살수가 없어서 엄마가 대신먼저 사줄수있어?
417,엄마 나 휴대폰 액정 나가서 as 센터에 맡기고 사이트에서 문자 보내는 거야 부탁할 거 있어서 그러는데 보면 문자 줘
418,엄마 나 지금 폰 고장 나서 매장에 수리 맡기고 인터넷으로 문자 보냈어 문자 확인하는 대로 답장 줘
419,금융감독원 은행 전산보안팀 과장입니다. 본인 앞으로 해킹 유출 연락드렸으나 부재중으로 연결 안 됩니다. 빠른 보안 강화하세요. 
420,엄마 나 폰 떨어뜨려서 액정 수리 맡기려고 매장에 잠깐 들렸어 이 번호가 임시사용하는 번호 신청했는데 문자만 가능해 부탁할 거 있으니 답해줘~~
421,엄마 난데 폰 고장 나서 센터에 맡기고 피씨용으로 엄마한테 문자하고 있어 부탁 있어서 그러는데 확인하는 대로 문자 줘
422,아빠 나 폰 액정이 깨져서 A.S 맡기고 임시폰 대리 받아 연락했어 통화 안 되니깐 문자 확인하면 답장 줘
423,[Wed 발신] 엄마 나 지금 급하게 해야 될 거 있는데 폰 액정 깨져서 못하고 있어 문자 확인하면 여기로 바로 답장 줘~
424,[Web발신] (광고)카카오뱅크 심사팀 대리입니다. 고객님앞으로 이용한도를 1200까지 인상가능하세요. 통화중일 경우 문자를 남겨주시면 확인하고 연락드리겠습니다. 믿고 연락주세요. 감사합니다. 
425,[Wed 발신] 아빠 나 폰 안돼서 as 맡기고 임시 카톡 만들었어 이 번호로 카톡추가하고 답 줘
426,엄마 나 폰 액정 깨져서 임시 이 번호 사용 중이야 확인하면 문자 줘~~
427,[국제발신] 해외인증 214*** USD 598$ 결제완료
428,아빠 나 폰 물에 떨어뜨렸어 통화가 안 되는데... 문자 확인하면 여기로 답 줘
429,아빠 나야. 핸드폰이 차에 밟혀서 수리 중이야. 나 급하게 부탁 하나만 해도 될까?
430,엄마 나 폰 고장 나서 대리 폰으로 문자하는 거라서 통화가 안 돼 문자 보면 여기로 문자 줘
431,엄마 바빠?? 안 바쁘면 부탁 하나 해도 될까? 온라인 문상을 구매해야 하는데 폰 인증이 안되니깐 구매가 힘드네 엄마 명의로 잠깐 회원가입해서 구매하면 안 될까?
432,엄마 나 핸드폰 고장 나서 서비스 맡기고 문자나라 접해서 문자하는 거야 문자 보면 답 줘!
433,{서울중앙지검}명의도용사건접수 요지:2015년06월20일 범죄자 체포한현장에서 본인명의로 된 농협 하나 은행통장이 압수되셨습니다. 명의가 도용 되셨는지 아니면 통장양도 협의가 있는지 저희 청으로 연락 주세요
434,아빠~ 나 폰 고장 나서 수리 맡기고 피씨로 잠깐 문자 보내고 있어 부탁이 있는데 답장 줘
435,모바일 돌잔치 초대장 보내드렸습니다 참석하여 주시기바랍니다 
436,우체국화물 반송처리중 주소지 확인 부탁드립니다 
437,KB국민입니다 개인정보유출로 보안승급하신뒤 이용해주세요
438,"[국외발신] 종합소득세""환급금 발생"" 금액 확인 하시고 기간 안내 받으시기 바랍니다. "
439,[모바일 청구서] 교통법규 위반건으로 청구서가 발송되었습니다.
440,팀장입니다 고객님은 최저이율로 최대한 도 3000만 원까지 30분에 내 통장 입금 가능합니다
441,신규 시스템 채용 최저 3.8% 마이너스통장 발급대상자이십니다
442,"[Web발신] 스마일pay 모바일 서비스 이용 요청일시:2019/06/28 요청사이트:헬로마켓 요청금액:457,000"
443,행복을 나누는[신한]입니다 고객님은 마이너스통장 대상자이십니다 한도 문의 1번
444,[고객 알림] 신한은행 마이너스 통장 발급 기준 완화 상세 문의 1번
445,농 협 햇살 론 오늘 5시까지만 5.6%부터 6000만 원 500명 마감 생활자금 신청 가능합니다
446,아빠 내 폰 수리 맡겼는데 통화는 안 되고 이 번호 추가해서 톡으로 문자 줘
447,엄마 나폰고 장 나서 대리 폰으로 문자하는 거라서 통화가 안 돼 문자 보면 여기로 문자 줘
448,[Web 발신] 엄마 나 폰 고장 나서 수리 맡기고 문자하는 거야 시간 나면 문자해줘
449,엄마 나 폰 고장 나서 as 맡겼어 꼭 좀 부탁할 거 있어 문자 확인하는 대로 답장 줄래?
450,[Web발신] [질병관리청 COOV] 안녕하세요.. 코로나 19 백신 예약 확인요청
451,엄마 나 폰 고장이라서 수리 맡겼어 부탁할 거 있어서 문자했는데 지금 컴퓨터로 피시용으로 문자하고 있어 글 보면 문자 줘
452,[국제발신] 개인 금융인증서 해외발행확인 본인 발행 아닐 시 즉시 신고 [KB국제금융센터]
453,"[Web발신] Akmall 고객님 신청하신 엘지 디오스냉장고 1,870,000원 처리 완료"
454,"[모바일리언스] 248,000원 결제 완료/익월 합산 요금 청구"
455,"[Web발신] (스마트 pay) 위닉스 공기 청정기 432,000원 결제 완료"
456,사이버수사대입니다. 당신은 허위사실 유포 및 명예훼손으로 관할 경찰서에 출두하셔야 합니다. 조사를 위해 메이플스토리 아이디와 비밀번호 2차 비번을 적어주십시오. 하루 안에 하지 않을 시 죄가 더 강해집니다.
457,"[Wed발신] [결제 완료] 네이버페이 상품 : 구찌마몬드백 G213 금액 : 1,670,000원 결제 완료"
458,엄마 뭐해 바빠? 나 급하게 돈 보낼 데가 있는데 인증서 오류가 나서 안돼ㅠ 나 80만 원만 보내줄 수 있어?
459,"[국외발신] -해외구매- 승인코드:[75**40] KRW:980,720원 완료 본인 구매 상품 아닐 시 즉시 신고 요망"
460,"[국외발신] [삼성페이] 해외 결제완료 상품명:삼성냉장고 금액990,000원 본인 아닐 시 한국소비자원"
461,[Web발신] [델리오] 새로운 기기에서 로그인되었습니다. 본인이 아닐 시
462,[모바일리언스] 33000원 결제완료/익월 요금합산 청구/잔액확인
463,"종합소득세 ""환급금"" 대상자입니다. 금액 확인하시고 수령해 주시기 바랍니다. 국세청 조회"
464,"[국외발신] 요청하신 결제금액 KRW 959,000 정상처리 되었습니다 고객센터"
465,[Web발신] 저희 사랑의 결실을 맺습니다 사랑을 축복해주세요 위치확인요
466,"[Web발신] [제로페이] 김치냉장고 모델명:DW-R159DCG 1,679,000원 승인완료 요청일:2020/04/06"
467,"[Web발신] 결제승인번호[5332] 498,000원 결제완료/합산청구금액 928,000원 -갤럭시아-"
468,"[국외발신] 주문하신 가전제품 845,000원 승인 배송예정"
469,"[국외발신] [AK몰] 해외직구 1,321,000원 결제완료"
470,"다날 승인번호 88966 100,000원결제됩니다 12월 합산청구금액 398,000원"
471,"[국제발신] [신한카드] 12/02 12:07 1,680,000원 결제완료 PAYCO"
472,[국제발신] 해외인증 95*** USD799$ 결제완료 본인 아닌 경우 한국 소비자원
